시도,기초단체장단위,8회당선정당,민주-국힘격차(%p),1·2위격차(%p),민주득표율,국힘득표율,8회사전(%),9회사전(%),사전증감(%p),8회접전(±10),텃밭거스름
인천광역시,옹진군,국민의힘,-10.94,10.94,44.53,55.47,36.94,34.6,-2.34,,
경기도,동두천시,국민의힘,-10.94,10.94,43.01,53.95,22.48,23.26,0.78,,
경기도,시흥시,더불어민주당,11.08,11.08,55.54,44.46,16.45,18.26,1.81,,
경기도,의왕시,국민의힘,-11.38,11.38,44.31,55.69,21.74,23.18,1.44,,
인천광역시,강화군,무소속,35.35,11.98,35.35,0.0,30.66,33.05,2.39,,
경기도,하남시,국민의힘,-12.06,12.06,43.97,56.03,21.47,24.54,3.07,,
강원특별자치도,고성군,더불어민주당,12.1,12.1,56.05,43.95,28.31,29.26,0.95,,
경상북도,청도군,국민의힘,-56.13,12.26,0.0,56.13,33.51,29.75,-3.76,,
경상남도,남해군,더불어민주당,12.28,12.28,56.14,43.86,36.02,36.91,0.89,,Y
경상남도,창녕군,국민의힘,-38.84,12.33,10.75,49.59,29.07,30.81,1.74,,
충청북도,옥천군,더불어민주당,12.34,12.34,56.17,43.83,32.17,33.57,1.4,,
경기도,과천시,국민의힘,-12.72,12.72,43.64,56.36,25.97,25.99,0.02,,
충청남도,천안시,국민의힘,-12.8,12.8,41.76,54.56,14.55,17.49,2.94,,
경상남도,의령군,무소속,0.0,12.93,0.0,0.0,37.8,35.43,-2.37,Y,Y
충청남도,금산군,국민의힘,-12.94,12.94,43.53,56.47,26.28,27.46,1.18,,
충청남도,서산시,국민의힘,-13.02,13.02,43.49,56.51,20.29,24.1,3.81,,
경기도,성남시,국민의힘,-13.07,13.07,42.89,55.96,22.08,23.03,0.95,,
전북특별자치도,김제시,더불어민주당,54.67,13.19,54.67,0.0,31.82,40.91,9.09,,
대전광역시,중구,국민의힘,-13.48,13.48,43.26,56.74,19.93,21.77,1.84,,
전라남도,담양군,더불어민주당,56.74,13.48,56.74,0.0,38.07,51.89,13.82,,
전라남도,광양시,무소속,40.82,13.77,40.82,0.0,25.39,33.05,7.66,,Y
강원특별자치도,속초시,국민의힘,-13.88,13.88,43.06,56.94,22.37,26.5,4.13,,
전라남도,순천시,무소속,41.9,13.88,41.9,0.0,24.02,33.05,9.03,,Y
부산광역시,북구,국민의힘,-14.06,14.06,42.97,57.03,17.83,23.38,5.55,,
강원특별자치도,강릉시,국민의힘,-14.24,14.24,29.69,43.93,23.77,25.47,1.7,,
서울특별시,강동구,국민의힘,-14.28,14.28,39.91,54.19,21.57,24.27,2.7,,
강원특별자치도,화천군,국민의힘,-14.28,14.28,42.86,57.14,30.92,32.7,1.78,,
경상남도,고성군,국민의힘,-14.46,14.46,42.77,57.23,32.54,31.66,-0.88,,
경상남도,김해시,국민의힘,-14.58,14.58,42.71,57.29,16.57,22.2,5.63,,
충청북도,진천군,더불어민주당,14.94,14.94,57.47,42.53,21.2,24.07,2.87,,
충청남도,보령시,국민의힘,-15.0,15.0,39.81,54.81,28.89,28.39,-0.5,,
강원특별자치도,양양군,국민의힘,-15.02,15.02,42.49,57.51,29.2,33.5,4.3,,
서울특별시,성동구,더불어민주당,15.22,15.22,57.61,42.39,22.2,24.33,2.13,,
경상북도,문경시,국민의힘,-54.7,15.31,0.0,54.7,33.43,34.34,0.91,,
부산광역시,남구,국민의힘,-15.84,15.84,42.08,57.92,20.28,21.74,1.46,,
충청남도,당진시,국민의힘,-16.02,16.02,41.99,58.01,19.48,23.24,3.76,,
전라남도,진도군,무소속,41.82,16.36,41.82,0.0,43.94,55.03,11.09,,Y
서울특별시,송파구,국민의힘,-16.56,16.56,41.72,58.28,21.41,23.3,1.89,,
충청북도,청주시,국민의힘,-16.8,16.8,41.6,58.4,17.14,19.77,2.63,,
울산광역시,울주군,국민의힘,-17.62,17.62,41.19,58.81,20.43,23.29,2.86,,
강원특별자치도,홍천군,국민의힘,-17.68,17.68,41.16,58.84,26.45,27.17,0.72,,
충청남도,예산군,국민의힘,-17.92,17.92,41.04,58.96,24.35,24.44,0.09,,
경상남도,함양군,무소속,-40.91,18.18,0.0,40.91,42.34,38.86,-3.48,,Y
울산광역시,중구,국민의힘,-18.84,18.84,40.58,59.42,20.46,22.42,1.96,,
부산광역시,강서구,국민의힘,-19.02,19.02,40.49,59.51,15.13,20.1,4.97,,
경상남도,창원시,국민의힘,-19.1,19.1,40.45,59.55,19.0,21.96,2.96,,
충청북도,충주시,국민의힘,-19.27,19.27,38.76,58.03,21.21,23.38,2.17,,
전라남도,목포시,무소속,37.67,19.72,37.67,0.0,30.21,33.55,3.34,,Y
경상북도,울진군,국민의힘,-59.95,19.9,0.0,59.95,33.95,35.87,1.92,,
강원특별자치도,평창군,국민의힘,-19.97,19.97,39.13,59.1,33.77,34.03,0.26,,
부산광역시,동구,국민의힘,-20.16,20.16,39.92,60.08,23.03,24.9,1.87,,
부산광역시,사하구,국민의힘,-20.38,20.38,39.81,60.19,17.54,20.18,2.64,,
경기도,연천군,국민의힘,-20.55,20.55,26.92,47.47,24.17,27.38,3.21,,
전북특별자치도,부안군,더불어민주당,52.46,20.64,57.7,5.24,34.26,45.08,10.82,,
경상남도,거창군,국민의힘,-60.45,20.9,0.0,60.45,32.44,33.36,0.92,,
부산광역시,연제구,국민의힘,-21.04,21.04,39.48,60.52,18.0,20.81,2.81,,
전북특별자치도,무주군,무소속,31.16,21.65,36.5,5.34,47.49,47.92,0.43,,Y
충청남도,청양군,더불어민주당,22.16,22.16,49.89,27.73,34.85,35.52,0.67,,
