sdName,sggName,office,office_type,sgTypecode,의원정수,등록후보수,경쟁률,무투표당선여부,무투표판정기준,비례대표_단일정당명부여부,등록미달여부,경쟁률_1미만여부,해당선거구_후보huboid_리스트,해당선거구_후보명_리스트,해당선거구_정당_리스트,체납이력_후보수,현체납_후보수,전과공개_후보수,공직검증전과_후보수,공직선거법전과_후보수,체납+공직검증전과_동시보유_후보수,검증위험_플래그,district_key
경상남도,의령군다선거구,구시군의회의원,지역구,6,2,2,1.00,Y,등록후보수_의원정수이하,N,N,N,"100162764, 100162893","황성철, 윤병열","국민의힘, 국민의힘",1,0,0,0,0,0,Y,6|경상남도|의령군다선거구
경상남도,창원시사선거구,구시군의회의원,지역구,6,2,2,1.00,Y,등록후보수_의원정수이하,N,N,N,"100165350, 100156371","백승규, 박강우","더불어민주당, 국민의힘",0,0,2,1,0,0,Y,6|경상남도|창원시사선거구
경상남도,창원시타선거구,구시군의회의원,지역구,6,2,2,1.00,Y,등록후보수_의원정수이하,N,N,N,"100154298, 100162967","서명일, 황점복","더불어민주당, 국민의힘",1,0,1,1,0,1,Y,6|경상남도|창원시타선거구
경상남도,하동군,기초의원비례,비례,9,2,2,1.00,Y,등록후보수_의원정수이하,N,N,N,"100164814, 100164844","박영심, 유향","더불어민주당, 국민의힘",1,0,1,1,0,1,Y,9|경상남도|하동군
경상북도,경주시다선거구,구시군의회의원,지역구,6,2,2,1.00,Y,등록후보수_의원정수이하,N,N,N,"100158849, 100157410","김상희, 주동열","국민의힘, 국민의힘",1,0,2,0,0,0,Y,6|경상북도|경주시다선거구
경상북도,고령군다선거구,구시군의회의원,지역구,6,2,2,1.00,Y,등록후보수_의원정수이하,N,N,N,"100158602, 100158986","김광호, 이철호","국민의힘, 국민의힘",1,0,0,0,0,0,Y,6|경상북도|고령군다선거구
경상북도,김천시마선거구,구시군의회의원,지역구,6,2,2,1.00,Y,등록후보수_의원정수이하,N,N,N,"100161872, 100161889","김세호, 김석조","국민의힘, 국민의힘",1,0,0,0,0,0,Y,6|경상북도|김천시마선거구
경상북도,봉화군나선거구,구시군의회의원,지역구,6,2,2,1.00,Y,등록후보수_의원정수이하,N,N,N,"100160206, 100163505","이양재, 금동윤","국민의힘, 국민의힘",1,0,1,1,0,0,Y,6|경상북도|봉화군나선거구
경상북도,칠곡군나선거구,구시군의회의원,지역구,6,2,2,1.00,Y,등록후보수_의원정수이하,N,N,N,"100159793, 100162465","이진구, 이상승","국민의힘, 국민의힘",1,0,0,0,0,0,Y,6|경상북도|칠곡군나선거구
대전광역시,대덕구다선거구,구시군의회의원,지역구,6,2,2,1.00,Y,등록후보수_의원정수이하,N,N,N,"100155931, 100163266","서미경, 전석광","더불어민주당, 국민의힘",1,0,2,2,0,1,Y,6|대전광역시|대덕구다선거구
