huboid,name,party,office,region,sdName,sggName,nec_detail_url,tax_arrears_5y_thousand_krw,tax_arrears_5y_display,tax_arrears_current_thousand_krw,criminal_categories,important_criminal_categories
100156527,이용권,국민의힘,구시군의회의원,충청남도 계룡시가선거구,충청남도,계룡시가선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100156527,126,13만원,0,폭력,
100162046,김용현,국민의힘,시도의원,경상북도 구미시제1선거구,경상북도,구미시제1선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100162046,125,13만원,0,,
100160015,최완열,국민의힘,구시군의회의원,경상북도 김천시라선거구,경상북도,김천시라선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100160015,125,13만원,0,음주·위험운전; 도로교통,음주·위험운전
100156881,장병훈,더불어민주당,구시군의회의원,전북특별자치도 군산시아선거구,전북특별자치도,군산시아선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100156881,124,12만원,0,음주·위험운전; 교통사고; 도로교통,음주·위험운전
100157790,주해남,무소속,시도의원,경상북도 포항시제7선거구,경상북도,포항시제7선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100157790,123,12만원,0,,
100161408,오문섭,국민의힘,구시군의회의원,경기도 화성시아선거구,경기도,화성시아선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100161408,121,12만원,0,교통사고,
100160658,서충기,무소속,구시군의회의원,전라남도 나주시마선거구,전라남도,나주시마선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100160658,121,12만원,0,노동,
100154948,심진철,더불어민주당,구시군의회의원,전북특별자치도 전주시라선거구,전북특별자치도,전주시라선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100154948,120,12만원,0,음주·위험운전; 도로교통,음주·위험운전
100164166,나성주,더불어민주당,기초의원비례,광주광역시 서구,광주광역시,서구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100164166,120,12만원,0,사기; 공직선거법,사기; 공직선거법
100164445,최진열,무소속,기초단체장,전라남도 고흥군,전라남도,고흥군,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100164445,116,12만원,0,보험·금융; 도로교통; 식품·보건; 노동; 건축·건설·부동산,
