huboid,name,party,office,region,sdName,sggName,nec_detail_url,criminal_record_disclosure,categories,important_categories,offense_count_extracted,matched_terms
100163170,이원택,더불어민주당,시도지사,전북특별자치도 전북특별자치도,전북특별자치도,전북특별자치도,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100163170,2건,폭력; 공무집행방해; 집시법,,2,폭력:폭력행위; 공무집행방해:공무집행방해; 집시법:집회및시위|집회 및 시위
100159308,하학열,국민의힘,기초단체장,경상남도 고성군,경상남도,고성군,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100159308,2건,공직선거법; 명예훼손,공직선거법,2,공직선거법:공직선거법; 명예훼손:명예훼손
100154602,김재선,무소속,기초단체장,전북특별자치도 정읍시,전북특별자치도,정읍시,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100154602,12건,횡령; 배임; 공직선거법; 음주·위험운전; 폭력; 업무방해; 사법방해; 도로교통; 노동; 건축·건설·부동산,횡령; 배임; 공직선거법; 음주·위험운전,2,횡령:횡령; 배임:배임; 공직선거법:공직선거법; 음주·위험운전:음주운전; 폭력:상해; 업무방해:업무방해; 사법방해:무고; 도로교통:도로교통법; 노동:근로기준법; 건축·건설·부동산:산지관리
100157300,이찬호,국민의힘,시도의원,경상남도 창원시제5선거구,경상남도,창원시제5선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100157300,6건,음주·위험운전; 무면허운전; 도로교통; 자동차관리,음주·위험운전; 무면허운전,2,음주·위험운전:음주운전; 무면허운전:무면허운전; 도로교통:도로교통법; 자동차관리:자동차관리법
100159283,류명열,국민의힘,시도의원,경상남도 김해시제4선거구,경상남도,김해시제4선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100159283,2건,환경,,2,환경:폐기물관리법
100163508,오경석,무소속,시도의원,부산광역시 중구선거구,부산광역시,중구선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100163508,4건,사기; 보험·금융; 명예훼손,사기,2,사기:사기; 보험·금융:전자금융거래법; 명예훼손:명예훼손
100163985,김동선,무소속,시도의원,전북특별자치도 부안군선거구,전북특별자치도,부안군선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100163985,3건,배임; 음주·위험운전; 무면허운전; 도로교통,배임; 음주·위험운전; 무면허운전,2,배임:배임; 음주·위험운전:음주운전; 무면허운전:무면허운전; 도로교통:도로교통법
100162383,양경호,더불어민주당,시도의원,제주특별자치도 제주특별자치도 제주시 노형동갑선거구,제주특별자치도,제주특별자치도 제주시 노형동갑선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100162383,3건,공직선거법,공직선거법,2,공직선거법:공직선거법
100158150,김종필,국민의힘,시도의원,충청북도 충주시제4선거구,충청북도,충주시제4선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100158150,2건,음주·위험운전; 도로교통,음주·위험운전,2,음주·위험운전:음주운전; 도로교통:도로교통법
100162366,배왕섭,더불어민주당,구시군의회의원,강원특별자치도 정선군나선거구,강원특별자치도,정선군나선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100162366,3건,폭력; 범인도피,,2,폭력:폭력행위; 범인도피:범인도피
100160443,윤재구,더불어민주당,구시군의회의원,경기도 연천군가선거구,경기도,연천군가선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100160443,2건,공직선거법; 식품·보건,공직선거법,2,공직선거법:공직선거법; 식품·보건:공중위생관리법
100164438,정성원,무소속,구시군의회의원,경상남도 밀양시나선거구,경상남도,밀양시나선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100164438,8건,사기; 교통사고; 폭력; 사법방해; 건축·건설·부동산,사기,2,사기:사기; 교통사고:교통사고처리특례법|교통사고처리특례; 폭력:상해; 사법방해:위증; 건축·건설·부동산:부동산
100162777,이한신,국민의힘,구시군의회의원,경상남도 합천군가선거구,경상남도,합천군가선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100162777,5건,사기; 횡령; 보험·금융,사기; 횡령,2,사기:사기; 횡령:횡령; 보험·금융:부정수표단속법
