huboid,name,party,office,region,sdName,sggName,nec_detail_url,tax_arrears_5y_thousand_krw,tax_arrears_5y_display,tax_arrears_current_thousand_krw,criminal_record_disclosure
100157039,전재석,무소속,구시군의회의원,경상남도 사천시라선거구,경상남도,사천시라선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100157039,158407,1.6억원,0,없음
100165585,김경훈,무소속,시도의원,경상북도 구미시제1선거구,경상북도,구미시제1선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100165585,157319,1.6억원,150653,1건
100159615,이철우,무소속,기초단체장,경상남도 함양군,경상남도,함양군,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100159615,154135,1.5억원,0,2건
100162489,김호경,국민의힘,시도의원,서울특별시 관악구제4선거구,서울특별시,관악구제4선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100162489,148303,1.5억원,0,1건
100155292,김성수,국민의힘,구시군의회의원,충청북도 청주시타선거구,충청북도,청주시타선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100155292,147413,1.5억원,0,없음
100163054,전혜란,무소속,구시군의회의원,충청북도 단양군나선거구,충청북도,단양군나선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100163054,143145,1.4억원,69238,없음
100162099,신동윤,국민의힘,구시군의회의원,대구광역시 달성군라선거구,대구광역시,달성군라선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100162099,132283,1.3억원,0,2건
100159781,조승준,더불어민주당,구시군의회의원,전라남도 담양군나선거구,전라남도,담양군나선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100159781,117346,1.2억원,0,3건
100158649,설경민,더불어민주당,구시군의회의원,전북특별자치도 군산시나선거구,전북특별자치도,군산시나선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100158649,109044,1.1억원,0,없음
100161998,김명숙,더불어민주당,시도의원,경기도 평택시제2선거구,경기도,평택시제2선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100161998,108018,1.1억원,0,없음
100164973,김혜영,국민의힘,구시군의회의원,경기도 평택시라선거구,경기도,평택시라선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100164973,106502,1.1억원,0,없음
100165338,권진희,더불어민주당,기초의원비례,경상남도 김해시,경상남도,김해시,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100165338,103746,1억원,0,없음
100159512,임은두,더불어민주당,구시군의회의원,전북특별자치도 임실군나선거구,전북특별자치도,임실군나선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100159512,102940,1억원,0,1건
100159999,이두원,무소속,기초단체장,충청남도 홍성군,충청남도,홍성군,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100159999,101037,1억원,20075,2건
100161225,박무봉,무소속,구시군의회의원,강원특별자치도 태백시가선거구,강원특별자치도,태백시가선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100161225,99955,"9,996만원",57982,11건
100159106,진호건,더불어민주당,시도의원,전남광주통합특별시 곡성군선거구,전남광주통합특별시,곡성군선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100159106,89953,"8,995만원",0,없음
100165548,권보성,국민의힘,기초의원비례,부산광역시 금정구,부산광역시,금정구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100165548,74961,"7,496만원",0,1건
100158796,손경식,국민의힘,구시군의회의원,경상북도 안동시바선거구,경상북도,안동시바선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100158796,67766,"6,777만원",52288,1건
100154803,정근효,진보당,시도의원,제주특별자치도 제주특별자치도 제주시 연동을선거구,제주특별자치도,제주특별자치도 제주시 연동을선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100154803,65652,"6,565만원",0,없음
100161260,김혜란,국민의힘,구시군의회의원,경상남도 창원시나선거구,경상남도,창원시나선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100161260,62425,"6,243만원",0,1건
