sim_id,강원특별자치도,경기도,경상남도,경상북도,광주광역시,대구광역시,대전광역시,부산광역시,서울특별시,세종특별자치시,울산광역시,인천광역시,전라남도,전북특별자치도,제주특별자치도,충청남도,충청북도
119,D,R,R,R,D,R,R,R,R,D,R,R,D,D,D,R,R
120,R,R,R,R,D,R,R,R,D,D,R,R,D,D,R,D,R
121,D,D,R,R,D,D,D,D,D,D,D,D,D,D,D,D,D
122,R,R,R,D,D,D,D,R,D,D,D,D,D,D,D,R,D
123,R,D,R,R,D,R,R,R,D,D,R,D,D,D,R,R,R
124,R,D,R,R,D,R,R,R,D,D,R,D,D,D,R,D,D
125,R,D,R,R,D,R,R,R,R,D,R,D,D,D,R,R,R
126,D,R,R,R,D,R,D,R,D,D,R,D,D,D,D,D,D
127,R,R,R,R,D,R,R,R,R,D,R,R,D,D,D,R,R
128,R,R,R,R,D,R,R,R,R,R,R,R,D,D,D,D,R
129,D,R,R,R,D,R,D,R,D,D,R,D,D,D,R,D,R
130,R,D,R,R,D,R,R,R,R,D,R,R,D,D,D,R,R
131,D,R,R,R,D,R,R,R,D,D,R,R,D,D,D,D,R
132,D,D,D,R,D,R,R,D,D,R,R,D,D,D,D,D,R
133,D,R,R,R,D,R,R,R,R,D,R,R,D,D,D,R,R
134,R,R,R,R,D,R,R,R,R,D,R,D,D,D,R,D,R
135,R,R,R,R,D,R,R,R,R,D,R,D,D,D,R,R,R
136,R,R,R,R,D,R,D,R,D,D,R,R,D,D,R,D,R
137,D,R,R,R,D,R,D,R,D,R,R,R,D,D,R,R,R
138,D,R,R,R,D,R,D,R,D,D,R,D,D,D,R,D,R
139,R,R,R,R,D,R,R,R,R,D,R,R,D,D,D,D,R
140,R,R,R,R,D,R,D,R,R,R,R,R,D,D,D,D,R
141,R,R,R,R,D,R,R,R,R,R,R,R,D,D,D,R,R
142,R,D,R,R,D,R,D,R,R,R,R,R,D,D,R,D,D
143,R,R,R,R,D,R,R,R,R,D,R,R,D,D,R,R,D
144,R,R,R,R,D,R,R,R,R,D,R,R,D,D,D,R,R
145,R,R,R,R,D,R,D,R,R,R,R,R,D,D,D,D,R
146,D,R,R,R,D,R,R,R,R,D,R,R,D,D,D,D,R
147,D,R,R,R,D,R,R,R,D,R,R,R,D,D,D,R,R
148,R,D,R,R,D,R,R,R,R,D,R,R,D,D,D,R,R
149,R,R,R,R,D,R,R,R,R,R,R,R,D,D,R,R,R
150,R,R,R,R,D,D,R,R,R,D,R,R,D,D,R,D,R
151,R,R,R,R,D,R,R,R,R,R,R,R,D,D,R,R,R
152,R,R,R,R,D,R,R,R,D,R,R,R,D,D,D,R,R
153,D,R,R,R,D,R,R,R,R,R,R,R,D,D,R,R,R
154,R,D,R,R,D,R,R,R,R,D,R,D,D,D,D,R,R
155,R,R,R,R,D,R,R,R,R,R,R,R,D,D,R,R,R
156,R,R,R,R,D,R,D,D,D,D,R,D,D,D,D,D,D
157,D,D,R,R,D,R,R,R,R,R,R,R,D,D,D,D,R
158,D,R,R,R,D,R,D,R,R,R,R,R,D,D,D,R,R
159,R,D,R,R,D,R,R,R,R,R,R,R,D,D,R,R,R
160,R,R,R,R,R,R,R,R,R,D,R,R,D,D,R,R,R
161,R,R,R,R,D,R,D,R,R,D,D,R,D,D,D,R,R
162,R,R,R,R,D,R,R,R,D,D,R,D,D,D,R,R,R
163,R,D,R,R,D,R,D,R,R,D,R,D,D,D,D,D,D
164,R,R,R,R,D,R,R,R,R,D,D,R,D,D,R,D,R
165,R,R,R,R,D,R,R,R,R,D,R,R,D,R,R,R,R
166,R,D,R,R,D,R,D,R,D,D,R,R,D,D,D,D,D
167,D,D,R,R,D,R,R,R,R,D,R,R,D,D,D,R,R
168,D,R,R,R,D,R,R,R,R,R,R,R,D,D,D,D,D
169,R,D,R,R,D,R,D,R,R,R,R,R,D,D,R,R,R
170,R,R,D,R,D,D,D,D,D,D,D,D,D,D,D,D,D
171,R,R,R,R,D,R,R,R,D,D,R,R,D,D,D,R,R
172,R,R,R,R,D,R,R,R,R,D,R,R,D,D,D,D,R
173,R,R,R,R,D,R,R,R,R,R,R,R,D,D,R,R,R
174,R,R,R,R,D,R,R,R,R,D,R,R,D,D,R,R,R
175,R,D,R,R,D,R,R,R,R,D,R,R,D,D,R,D,R
176,D,R,R,R,D,R,R,R,D,D,R,D,D,D,D,R,D
177,D,R,R,R,D,R,D,D,R,D,D,D,D,D,D,D,R
178,R,D,R,R,D,R,R,R,D,D,R,R,D,D,R,R,D
179,R,R,R,R,D,R,D,R,R,R,R,D,D,D,D,R,R
180,D,D,D,R,D,R,D,D,D,D,R,D,D,D,D,D,R
181,D,R,R,R,D,R,R,R,R,D,R,R,D,D,D,D,R
182,R,R,R,R,R,R,R,R,R,R,R,R,D,D,D,R,R
183,R,R,R,R,D,R,D,D,D,D,R,R,D,D,R,R,D
184,R,R,R,R,D,R,D,R,D,R,R,D,D,D,D,R,R
185,R,R,R,R,D,R,R,R,D,D,R,R,D,D,R,R,R
186,R,R,R,R,D,R,R,R,R,D,R,R,D,D,R,R,R
187,R,R,R,R,D,R,D,D,R,D,R,R,D,D,D,R,R
188,R,D,R,R,D,R,D,R,D,R,R,R,D,D,D,D,R
189,R,R,R,R,D,R,R,R,R,D,R,R,D,D,R,D,R
190,D,D,D,R,D,D,D,R,D,D,D,D,D,D,R,D,D
