rank,huboid,name,party,party_short,office,sdName,sggName,region,criminal_record_count,has_criminal_record,ocr_categories,official_vetting_categories,economic_trust_categories,election_integrity_categories,public_admin_categories,tax_public_money_categories,traffic_safety_categories,has_official_vetting_record,has_hard_vetting_record,has_economic_trust_record,has_election_integrity_record,has_public_admin_record,has_tax_public_money_record,tax_arrears_5y_thousand_krw,tax_arrears_5y_display,tax_arrears_current_thousand_krw,tax_arrears_current_display,has_tax_arrears_5y,has_tax_arrears_current,has_money_trust_flag,has_any_vetting_flag,is_uncontested_candidate,job,career1,career2,nec_detail_url,priority_reason
21,100156646,신효광,국민의힘,국힘,시도의원,경상북도,청송군선거구,경상북도 청송군선거구,2,True,"공직선거법, 도로교통, 음주·위험운전","공직선거법, 음주·위험운전",,공직선거법,,,음주·위험운전,True,True,False,True,False,False,0,0원,0,0원,False,False,False,True,True,경상북도의회의원,(전)청송군의회의원(부의장),(현)경상북도의회의원(농수산위원장),https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100156646,무투표 당선; 선거·정치자금 전과(공직선거법)
22,100160675,김영훈,더불어민주당,민주당,시도의원,경기도,시흥시제3선거구,경기도 시흥시제3선거구,1,True,"공직선거법, 명예훼손",공직선거법,,공직선거법,,,,True,True,False,True,False,False,0,0원,0,0원,False,False,False,True,True,정당인,(현)더불어민주당 정책위원회 부의장,(전)문정복 국회의원 보좌관,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100160675,무투표 당선; 선거·정치자금 전과(공직선거법)
23,100163316,윤판오,더불어민주당,민주당,구시군의회의원,서울특별시,중구가선거구,서울특별시 중구가선거구,1,True,공직선거법,공직선거법,,공직선거법,,,,True,True,False,True,False,False,0,0원,0,0원,False,False,False,True,True,중구의회 의원,(전)제9대 중구의회 전반기 부의장,(현)제9대 중구의회 후반기 의장,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100163316,무투표 당선; 선거·정치자금 전과(공직선거법)
24,100161710,조미향,더불어민주당,민주당,구시군의회의원,서울특별시,구로구라선거구,서울특별시 구로구라선거구,1,True,공직선거법,공직선거법,,공직선거법,,,,True,True,False,True,False,False,0,0원,0,0원,False,False,False,True,True,정당인,(전)구로구의회의원,(전)더불어민주당 서울시당 부대변인,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100161710,무투표 당선; 선거·정치자금 전과(공직선거법)
25,100165816,김선옥,더불어민주당,민주당,기초의원비례,전라남도,영광군,전라남도 영광군,1,True,공직선거법,공직선거법,,공직선거법,,,,True,True,False,True,False,False,0,0원,0,0원,False,False,False,True,True,농업인,(현)더불어민주당 전남도당 여성위원회 부위원장,,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100165816,무투표 당선; 선거·정치자금 전과(공직선거법)
26,100162220,김재국,국민의힘,국힘,구시군의회의원,경기도,안산시바선거구,경기도 안산시바선거구,1,True,공직선거법,공직선거법,,공직선거법,,,,True,True,False,True,False,False,0,0원,0,0원,False,False,False,True,True,안산시의회의원,(전)제20대 김명연국회의원 4급 보좌관,(현)안산시의회부회장,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100162220,무투표 당선; 선거·정치자금 전과(공직선거법)
27,100165413,김정화,국민의힘,국힘,기초의원비례,경기도,부천시,경기도 부천시,1,True,"공직선거법, 교통사고",공직선거법,,공직선거법,,,,True,True,False,True,False,False,0,0원,0,0원,False,False,False,True,True,해냄건설 대표이사,(현)부천시 영남향우회 총회장,(현)해냄건설 대표이사,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100165413,무투표 당선; 선거·정치자금 전과(공직선거법)
28,100164442,황성경,국민의힘,국힘,기초의원비례,경상북도,청송군,경상북도 청송군,1,True,공직선거법,공직선거법,,공직선거법,,,,True,True,False,True,False,False,0,0원,0,0원,False,False,False,True,True,농업,(현)국민의힘 의성청송영덕울진당원협의회 청송군여성위원장,(현)청송군 황씨종친회 여성부회장,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100164442,무투표 당선; 선거·정치자금 전과(공직선거법)
29,100164891,박명숙,국민의힘,국힘,기초의원비례,경상북도,울진군,경상북도 울진군,1,True,"공직선거법, 음주·위험운전","공직선거법, 음주·위험운전",,공직선거법,,,음주·위험운전,True,True,False,True,False,False,0,0원,0,0원,False,False,False,True,True,후포볼링센터(대표),(현)국민의힘 의성청송영덕울진당원협의회 울진군여성위원장,(현)울진군소상공인 연합회장,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100164891,무투표 당선; 선거·정치자금 전과(공직선거법)
30,100160788,구미선,더불어민주당,민주당,구시군의회의원,서울특별시,은평구마선거구,서울특별시 은평구마선거구,0,False,,,,,,,,False,False,False,False,False,False,342166,"3억4,216만원",249419,"2억4,941만원",True,True,True,True,False,정당인,(전)더불어민주당 서울특별시당 사회적경제 특별위원회 위원장,(전)더불어민주당 서울특별시당 은평을 지역위원회 여성위원장,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100160788,"최근 5년 체납 3억4,216만원; 현 체납 2억4,941만원"
31,100161878,정경민,국민의힘,국힘,구시군의회의원,경기도,파주시가선거구,경기도 파주시가선거구,0,False,,,,,,,,False,False,False,False,False,False,283653,"2억8,365만원",280503,"2억8,050만원",True,True,True,True,False,사업가(금융IT),(전)국민의힘 경기도당 부위원장,(현)국민의힘 경기도당 대변인,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100161878,"최근 5년 체납 2억8,365만원; 현 체납 2억8,050만원"
32,100158796,손경식,국민의힘,국힘,구시군의회의원,경상북도,안동시바선거구,경상북도 안동시바선거구,1,True,공직선거법,공직선거법,,공직선거법,,,,True,True,False,True,False,False,67766,"6,776만원",52288,"5,228만원",True,True,True,True,False,자영업,(현)국민의힘 경북도당연합회 부회장,(현)용상동 주민자치회 기획분과장,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100158796,"선거·정치자금 전과(공직선거법); 최근 5년 체납 6,776만원; 현 체납 5,228만원"
33,100165250,김영록,국민의힘,국힘,광역의원비례,경상남도,경상남도,경상남도,1,True,"공직선거법, 도로교통, 음주·위험운전","공직선거법, 음주·위험운전",,공직선거법,,,음주·위험운전,True,True,False,True,False,False,9757,975만원,139,13만원,True,True,True,True,False,창원시의회의원,(전)대한민국 국회 비서관,(전)창원시자원봉사센터 사무국장,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100165250,선거·정치자금 전과(공직선거법); 최근 5년 체납 975만원; 현 체납 13만원
34,100162468,최건,국민의힘,국힘,구시군의회의원,대구광역시,동구마선거구,대구광역시 동구마선거구,3,True,"공직선거법, 도로교통, 음주·위험운전, 허위공문서·문서위조·공용서류","공직선거법, 음주·위험운전, 허위공문서·문서위조·공용서류",,공직선거법,허위공문서·문서위조·공용서류,,음주·위험운전,True,True,False,True,True,False,5145,514만원,0,0원,True,False,True,True,False,동구의회의원,(전)대구광역시 동구 공공기관 유치 특별위원장,(현)대구동구의회 도시건설위원장,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100162468,선거·정치자금 전과(공직선거법); 공직·문서 전과(허위공문서·문서위조·공용서류); 최근 5년 체납 514만원
35,100157754,김금희,국민의힘,국힘,구시군의회의원,서울특별시,관악구가선거구,서울특별시 관악구가선거구,1,True,공직선거법,공직선거법,,공직선거법,,,,True,True,False,True,False,False,4567,456만원,961,96만원,True,True,True,True,False,김금희부동산공인중개사사무소 대표,"(전) 관악구의회 제4대,5대 구의원",(현) 이웃사랑평화봉사회 회원,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100157754,선거·정치자금 전과(공직선거법); 최근 5년 체납 456만원; 현 체납 96만원
36,100155298,민경우,국민의힘,국힘,시도의원,경상남도,밀양시제2선거구,경상남도 밀양시제2선거구,7,True,"공직선거법, 노동, 배임, 사기, 폭력","공직선거법, 배임, 사기","배임, 사기",공직선거법,,,,True,True,True,True,False,False,0,0원,0,0원,False,False,True,True,False,대림조경(주) 대표이사,(전)밀양시 새마을회 지회장 역임,(현)국민의힘 밀양시 당원협의회 홍보위원장,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100155298,"경제·신뢰 전과(배임, 사기); 선거·정치자금 전과(공직선거법)"
37,100159598,박노찬,더불어민주당,민주당,구시군의회의원,충청남도,서천군가선거구,충청남도 서천군가선거구,5,True,"공무집행방해, 공직선거법, 보험·금융, 사기, 집시법, 폭력","공직선거법, 사기",사기,공직선거법,,,,True,True,True,True,False,False,0,0원,0,0원,False,False,True,True,False,정치인,"(전)서천군의원(제6대, 제7대)",(전)서천군사회복지협의회장,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100159598,경제·신뢰 전과(사기); 선거·정치자금 전과(공직선거법)
