rank,huboid,name,party,party_short,office,sdName,sggName,region,criminal_record_count,has_criminal_record,ocr_categories,official_vetting_categories,economic_trust_categories,election_integrity_categories,public_admin_categories,tax_public_money_categories,traffic_safety_categories,has_official_vetting_record,has_hard_vetting_record,has_economic_trust_record,has_election_integrity_record,has_public_admin_record,has_tax_public_money_record,tax_arrears_5y_thousand_krw,tax_arrears_5y_display,tax_arrears_current_thousand_krw,tax_arrears_current_display,has_tax_arrears_5y,has_tax_arrears_current,has_money_trust_flag,has_any_vetting_flag,is_uncontested_candidate,job,career1,career2,nec_detail_url,priority_reason
110,100164450,박창석,국민의힘,국힘,시도의원,대구광역시,군위군선거구,대구광역시 군위군선거구,7,True,"건축·건설·부동산, 도로교통, 무면허운전, 음주·위험운전, 횡령","무면허운전, 음주·위험운전, 횡령",횡령,,,,"무면허운전, 음주·위험운전",True,True,True,False,False,False,2873,287만원,0,0원,True,False,True,True,False,대구광역시의원,(현)대구광역시의원,,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100164450,경제·신뢰 전과(횡령); 최근 5년 체납 287만원
111,100162742,박영환,국민의힘,국힘,구시군의회의원,대구광역시,수성구다선거구,대구광역시 수성구다선거구,1,True,배임,배임,배임,,,,,True,True,True,False,False,False,2346,234만원,0,0원,True,False,True,True,False,토목설계업,(현) 만촌2동 주민자치위원장,(현) 민주평통 수성구 협의회 경제분과위원장,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100162742,경제·신뢰 전과(배임); 최근 5년 체납 234만원
112,100162558,김영헌,국민의힘,국힘,구시군의회의원,경상북도,포항시아선거구,경상북도 포항시아선거구,2,True,"보험·금융, 사기",사기,사기,,,,,True,True,True,False,False,False,1703,170만원,0,0원,True,False,True,True,False,포항시의회의원,(전)포항구룡포과메기사업협동조합 이사장,(현)포항시의회 의원,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100162558,경제·신뢰 전과(사기); 최근 5년 체납 170만원
113,100158882,정연철,국민의힘,국힘,시도의원,강원특별자치도,삼척시제2선거구,강원특별자치도 삼척시제2선거구,2,True,"농수산, 뇌물, 특가법","뇌물, 특가법",뇌물,,,,,True,True,True,False,False,False,1675,167만원,0,0원,True,False,True,True,False,삼척시의회의원,(현)삼척시의회의원,(전)삼척시자율방범연합대 연합대장,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100158882,경제·신뢰 전과(뇌물); 최근 5년 체납 167만원
114,100164264,김미경,국민의힘,국힘,기초의원비례,경상북도,안동시,경상북도 안동시,1,True,사기,사기,사기,,,,,True,True,True,False,False,False,1196,119만원,0,0원,True,False,True,True,False,와이에스(YS)컴퍼니 대표,(현)국민의힘 경북도당 여성위원회 부위원장,(전)영남예술아카데미 총동창회장,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100164264,경제·신뢰 전과(사기); 최근 5년 체납 119만원
115,100158492,박천수,국민의힘,국힘,구시군의회의원,충청남도,공주시가선거구,충청남도 공주시가선거구,2,True,"도로교통, 사기, 음주·위험운전","사기, 음주·위험운전",사기,,,,음주·위험운전,True,True,True,False,False,False,651,65만원,0,0원,True,False,True,True,False,농업,(현)(사)새마을 지도자 유구읍 협의회 회장,(현)공주시 농업정책 자문위원,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100158492,경제·신뢰 전과(사기); 최근 5년 체납 65만원
116,100160536,정현웅,더불어민주당,민주당,구시군의회의원,전라남도,함평군나선거구,전라남도 함평군나선거구,1,True,뇌물,뇌물,뇌물,,,,,True,True,True,False,False,False,469,46만원,0,0원,True,False,True,True,False,자영업,(현)제9대 함평군의회 전반기 운영위원장,(전)제8대 함평군의회 경제건설위원장,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100160536,경제·신뢰 전과(뇌물); 최근 5년 체납 46만원
117,100162191,김영태,국민의힘,국힘,구시군의회의원,경상북도,구미시다선거구,경상북도 구미시다선거구,4,True,"사기, 폭력",사기,사기,,,,,True,True,True,False,False,False,148,14만원,0,0원,True,False,True,True,False,구미시의회의원,(전)자연보호구미시도량동협의회장,(현)구미시의회의원 ,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100162191,경제·신뢰 전과(사기); 최근 5년 체납 14만원
118,100157884,김경희,더불어민주당,민주당,구시군의회의원,경상남도,창원시마선거구,경상남도 창원시마선거구,1,True,횡령,횡령,횡령,,,,,True,True,True,False,False,False,144,14만원,0,0원,True,False,True,True,False,창원시의회의원,(전)3대 창원시의원,(현)4대 창원시의원,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100157884,경제·신뢰 전과(횡령); 최근 5년 체납 14만원
119,100158442,최선남,국민의힘,국힘,구시군의회의원,강원특별자치도,양양군가선거구,강원특별자치도 양양군가선거구,1,True,"보조금, 횡령","보조금, 횡령",횡령,,,보조금,,True,True,True,False,False,True,115,11만원,0,0원,True,False,True,True,False,양양군의회의원,(현)양양군의회의원,(전)한국자유총연맹 전국여성협의회장,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100158442,경제·신뢰 전과(횡령); 최근 5년 체납 11만원
120,100164510,이재화,국민의힘,국힘,광역의원비례,충청북도,충청북도,충청북도,1,True,"사기, 횡령","사기, 횡령","사기, 횡령",,,,,True,True,True,False,False,False,108,10만원,0,0원,True,False,True,True,False,홍광실버타운대표,(현)(사)한국노인장기요양기관협회 충북지부제천지회지회장,(현)국민의힘 충북도당 약자와의동행특별위원장,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100164510,"경제·신뢰 전과(사기, 횡령); 최근 5년 체납 10만원"
