huboid,name,party,office,office_type,sdName,sggName,nec_detail_url,tax_arrears_5y_thousand_krw,tax_arrears_5y_display,tax_arrears_current_thousand_krw,tax_arrears_current_display,criminal_record_disclosure,categories,important_categories,공직검증전과_분류수,공직검증전과_건수,체납이력_보유,현체납_보유,전과공개_보유,공직검증전과_보유,공직선거법전과_보유,해당선거구_경쟁률,해당선거구_의원정수,해당선거구_무투표판정기준,해당선거구_비례대표_단일정당명부여부,등록미달여부,검증위험_플래그
100156747,이귀순,더불어민주당,시도의원,지역구,광주광역시,광산구제4선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100156747,1797,"1,797천원",0,0천원,없음,,,0,0,Y,N,N,N,N,1.00,1,등록후보수_의원정수이하,N,N,Y
100156896,김철현,국민의힘,구시군의회의원,지역구,부산광역시,남구나선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100156896,1595,"1,595천원",0,0천원,없음,,,0,0,Y,N,N,N,N,1.00,2,등록후보수_의원정수이하,N,N,Y
100162389,김명현,국민의힘,구시군의회의원,지역구,대전광역시,서구마선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100162389,1419,"1,419천원",0,0천원,4건,허위공문서·문서위조·공용서류; 음주·위험운전; 무면허운전; 교통사고; 도로교통,허위공문서·문서위조·공용서류; 음주·위험운전; 무면허운전,3,1,Y,N,Y,Y,N,1.00,3,등록후보수_의원정수이하,N,N,Y
100162460,이은미,더불어민주당,시도의원,지역구,경기도,안산시제5선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100162460,1412,"1,412천원",0,0천원,없음,,,0,0,Y,N,N,N,N,1.00,1,등록후보수_의원정수이하,N,N,Y
100161872,김세호,국민의힘,구시군의회의원,지역구,경상북도,김천시마선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100161872,1356,"1,356천원",0,0천원,없음,,,0,0,Y,N,N,N,N,1.00,2,등록후보수_의원정수이하,N,N,Y
100160234,김은수,국민의힘,구시군의회의원,지역구,경기도,수원시나선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100160234,1218,"1,218천원",0,0천원,없음,,,0,0,Y,N,N,N,N,1.00,2,등록후보수_의원정수이하,N,N,Y
100162465,이상승,국민의힘,구시군의회의원,지역구,경상북도,칠곡군나선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100162465,934,934천원,0,0천원,없음,,,0,0,Y,N,N,N,N,1.00,2,등록후보수_의원정수이하,N,N,Y
100162284,강영웅,국민의힘,구시군의회의원,지역구,경기도,용인시아선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100162284,854,854천원,0,0천원,없음,,,0,0,Y,N,N,N,N,1.00,2,등록후보수_의원정수이하,N,N,Y
100161018,박지현,더불어민주당,구시군의회의원,지역구,경기도,광주시다선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100161018,829,829천원,0,0천원,없음,,,0,0,Y,N,N,N,N,1.00,3,등록후보수_의원정수이하,N,N,Y
100165832,김선아,더불어민주당,기초의원비례,비례,인천광역시,연수구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100165832,828,828천원,0,0천원,없음,,,0,0,Y,N,N,N,N,1.00,2,등록후보수_의원정수이하,N,N,Y
