시도,시군구,등록폴수,최신등록일,조사기관,의뢰자,조사방법,조사명칭,공표여부,결과분석PDF_URL,상세페이지URL
울산광역시,북구,4,2026-05-27,한길리서치,경상일보/울산MBC,무선 ARS,울산광역시 북구    정당지지도 기초단체장선거,공표가능(~5/27),https://www.nesdc.go.kr/portal/cmm/fms/FileDown.do?atchFileId=ikcPlwKjg0hn1mJijYVWVDCb%2BfCwM5Qw2KLteJpXeHE%3D&fileSn=wvE0duRcZoHPoK1KPjPIzA%3D%3D&bbsId=B0000005&bbsKey=CRk9swyicI42LCo1Jmh9Ng%3D%3D,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=19208&menuNo=200467
울산광역시,울주군,4,2026-05-27,한길리서치,경상일보/울산MBC,무선 ARS,울산광역시 울주군    정당지지도 기초단체장선거,공표가능(~5/27),https://www.nesdc.go.kr/portal/cmm/fms/FileDown.do?atchFileId=ikcPlwKjg0hn1mJijYVWVFNmrKcC6e46QVzo371H8E0%3D&fileSn=wvE0duRcZoHPoK1KPjPIzA%3D%3D&bbsId=B0000005&bbsKey=AN7ovt%2BzZ24tqdpH%2BouVJA%3D%3D,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=19210&menuNo=200467
울산광역시,중구,3,2026-05-27,한길리서치,경상일보/울산MBC,무선 ARS,울산광역시 중구    정당지지도 기초단체장선거,공표가능(~5/27),https://www.nesdc.go.kr/portal/cmm/fms/FileDown.do?atchFileId=ikcPlwKjg0hn1mJijYVWVGzalIki%2F9boG5fRfMph%2FZQ%3D&fileSn=wvE0duRcZoHPoK1KPjPIzA%3D%3D&bbsId=B0000005&bbsKey=%2Bg7LSeefvLIvYmDkXyXiBg%3D%3D,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=19205&menuNo=200467
인천광역시,강화군,6,2026-05-28,조원씨앤아이,스트레이트뉴스,무선 ARS,인천광역시 강화군    기초단체장선거 정당지지도,5/28등록,,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=19313&menuNo=200467
인천광역시,검단구,5,2026-04-30,한길리서치,경인방송,무선 ARS,인천광역시 서구    정당지지도 기초단체장선거 (검단구),공표가능(~5/27),https://www.nesdc.go.kr/portal/cmm/fms/FileDown.do?atchFileId=RZb7NiivEAVTNXb6A6Txi1xX2BOrJRO0%2BkLdJFJNx%2Fc%3D&fileSn=wvE0duRcZoHPoK1KPjPIzA%3D%3D&bbsId=B0000005&bbsKey=f2d%2Fa2FOuwZHlsxQbdA41g%3D%3D,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=18453&menuNo=200467
인천광역시,계양구,1,2026-03-09,조원씨앤아이,스트레이트뉴스,무선 ARS,인천광역시 계양구  을선거구  기초단체장선거 국회의원선거 정당지지도,공표가능(~5/27),,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=17633&menuNo=200467
인천광역시,남동구,1,2026-05-18,한길리서치,인천일보,무선 ARS,인천광역시 남동구    정당지지도 광역단체장선거 기초단체장선거,공표가능(~5/27),https://www.nesdc.go.kr/portal/cmm/fms/FileDown.do?atchFileId=vZ%2BGKNTOkBdagDHWyX5O%2BOE8EV2RZEKc8DScyPwX%2F1Q%3D&fileSn=wvE0duRcZoHPoK1KPjPIzA%3D%3D&bbsId=B0000005&bbsKey=DFu4PVwfMG%2FxMIBRHIWP%2FA%3D%3D,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=18776&menuNo=200467
인천광역시,미추홀구,0,,,,,,폴없음,,
인천광역시,부평구,0,,,,,,폴없음,,
인천광역시,서구,1,2026-05-11,한길리서치,인천일보,무선 ARS,인천광역시 서구  (서해구)  정당지지도 광역단체장선거 기초단체장선거,공표가능(~5/27),https://www.nesdc.go.kr/portal/cmm/fms/FileDown.do?atchFileId=vZ%2BGKNTOkBdagDHWyX5O%2BKM9Ugjo48fIQJjWlz179pA%3D&fileSn=wvE0duRcZoHPoK1KPjPIzA%3D%3D&bbsId=B0000005&bbsKey=UElONlLOn12O3ASPoqSjtA%3D%3D,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=18627&menuNo=200467
인천광역시,연수구,0,,,,,,폴없음,,
인천광역시,영종구,0,,,,,,폴없음,,
인천광역시,옹진군,2,2026-05-27,(주)이너텍시스템즈,미디어트리뷴,무선 ARS,인천광역시 옹진군    기초단체장선거 정당지지도,공표가능(~5/27),,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=19167&menuNo=200467
인천광역시,제물포구,4,2026-05-28,(주)이너텍시스템즈,미디어트리뷴,무선 ARS,인천광역시 전체  제물포구  기초단체장선거 정당지지도,5/28등록,,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=19308&menuNo=200467
전라남도,강진군,12,2026-05-27,(주)코리아정보리서치,케이저널,무선 ARS,전라남도 강진군    기초단체장선거 정당지지도,공표가능(~5/27),,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=19256&menuNo=200467
전라남도,고흥군,4,2026-04-01,(주)코리아정보리서치,전남매거진,무선 ARS,전라남도 고흥군    기초단체장선거 정당지지도,공표가능(~5/27),,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=18037&menuNo=200467
전라남도,곡성군,2,2026-05-15,(주)코리아정보리서치,일간투데이,무선 ARS,전라남도 곡성군    기초단체장선거 정당지지도,공표가능(~5/27),,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=18715&menuNo=200467
