회차,연도,선거일,선거구명,동,투표구명,분류,선거인수,투표수,유효표_계,무효투표수,기권자수,후보순번,정당,후보명,득표수,득표율_유효표대비
17,2004,2004-04-15,북구·강서구갑,만덕2동,만덕2동제2투,box,3814,2245,2224,21,1569,1,한나라당,정형근,1167,52.47
17,2004,2004-04-15,북구·강서구갑,만덕2동,만덕2동제2투,box,3814,2245,2224,21,1569,2,새천년민주당,박희동,26,1.17
17,2004,2004-04-15,북구·강서구갑,만덕2동,만덕2동제2투,box,3814,2245,2224,21,1569,3,열린우리당,이철,990,44.51
17,2004,2004-04-15,북구·강서구갑,만덕2동,만덕2동제2투,box,3814,2245,2224,21,1569,4,자민련,노태석,4,0.18
17,2004,2004-04-15,북구·강서구갑,만덕2동,만덕2동제2투,box,3814,2245,2224,21,1569,5,무소속,도희윤,37,1.66
17,2004,2004-04-15,북구·강서구갑,만덕2동,만덕2동제3투,box,3134,1837,1821,16,1297,1,한나라당,정형근,916,50.3
17,2004,2004-04-15,북구·강서구갑,만덕2동,만덕2동제3투,box,3134,1837,1821,16,1297,2,새천년민주당,박희동,33,1.81
17,2004,2004-04-15,북구·강서구갑,만덕2동,만덕2동제3투,box,3134,1837,1821,16,1297,3,열린우리당,이철,826,45.36
17,2004,2004-04-15,북구·강서구갑,만덕2동,만덕2동제3투,box,3134,1837,1821,16,1297,4,자민련,노태석,11,0.6
17,2004,2004-04-15,북구·강서구갑,만덕2동,만덕2동제3투,box,3134,1837,1821,16,1297,5,무소속,도희윤,35,1.92
17,2004,2004-04-15,북구·강서구갑,만덕2동,만덕2동제4투,box,3023,1985,1976,9,1038,1,한나라당,정형근,1000,50.61
17,2004,2004-04-15,북구·강서구갑,만덕2동,만덕2동제4투,box,3023,1985,1976,9,1038,2,새천년민주당,박희동,29,1.47
17,2004,2004-04-15,북구·강서구갑,만덕2동,만덕2동제4투,box,3023,1985,1976,9,1038,3,열린우리당,이철,868,43.93
